sign_id_wordnet,sign_id_original,language,origin,video,links,gloss
dgs.10375,10375,dgs,dgs-korpus,https://www.sign-lang.uni-hamburg.de/korpusdict/clips/3478554_1.mp4,'https://doi.org/10.25592/dgs.corpus-3.0-type-10375,https://www.sign-lang.uni-hamburg.de/meinedgs/types/type10375_de.html',UNGEFÄHR3A^
dgs.11649,11649,dgs,dgs-korpus,https://www.sign-lang.uni-hamburg.de/korpusdict/clips/3960051_1.mp4,'https://doi.org/10.25592/dgs.corpus-3.0-type-11649,https://www.sign-lang.uni-hamburg.de/meinedgs/types/type11649_de.html',ENTSCHULDIGUNG1^
dgs.11905,11905,dgs,dgs-korpus,,https://www.sign-lang.uni-hamburg.de/meinedgs/types/type11905_de.html,REIFEN2^
dgs.13051,13051,dgs,dgs-korpus,https://www.sign-lang.uni-hamburg.de/korpusdict/clips/3805418_1.mp4,'https://doi.org/10.25592/dgs.corpus-3.0-type-13051,https://www.sign-lang.uni-hamburg.de/meinedgs/types/type13051_de.html',DÜNN1A^
dgs.13052,13052,dgs,dgs-korpus,https://www.sign-lang.uni-hamburg.de/galex/filmegr/g13052.mp4,'https://doi.org/10.25592/dgs.corpus-3.0-type-13052,https://www.sign-lang.uni-hamburg.de/meinedgs/types/type13052_de.html',BEHÄLTER2^
dgs.13054,13054,dgs,dgs-korpus,https://www.sign-lang.uni-hamburg.de/galex/filmegr/g13054.mp4,'https://doi.org/10.25592/dgs.corpus-3.0-type-13054,https://www.sign-lang.uni-hamburg.de/meinedgs/types/type13054_de.html',BEHÄLTER1A^
dgs.13055,13055,dgs,dgs-korpus,https://www.sign-lang.uni-hamburg.de/korpusdict/clips/3973147_1.mp4,'https://doi.org/10.25592/dgs.corpus-3.0-type-13055,https://www.sign-lang.uni-hamburg.de/meinedgs/types/type13055_de.html',KURBELN1A^
dgs.13058,13058,dgs,dgs-korpus,https://www.sign-lang.uni-hamburg.de/korpusdict/clips/3498857_1.mp4,'https://doi.org/10.25592/dgs.corpus-3.0-type-13058,https://www.sign-lang.uni-hamburg.de/meinedgs/types/type13058_de.html',SCHMIEREN2A^
dgs.13059,13059,dgs,dgs-korpus,https://www.sign-lang.uni-hamburg.de/galex/filmegr/g13059.mp4,'https://doi.org/10.25592/dgs.corpus-3.0-type-13059,https://www.sign-lang.uni-hamburg.de/meinedgs/types/type13059_de.html',PUTZEN-BODEN1^
dgs.13060,13060,dgs,dgs-korpus,https://www.sign-lang.uni-hamburg.de/galex/filmegr/g13060.mp4,'https://doi.org/10.25592/dgs.corpus-3.0-type-13060,https://www.sign-lang.uni-hamburg.de/meinedgs/types/type13060_de.html',BEHÄLTER3^
dgs.13061,13061,dgs,dgs-korpus,https://www.sign-lang.uni-hamburg.de/galex/filmegr/g13061.mp4,'https://doi.org/10.25592/dgs.corpus-3.0-type-13061,https://www.sign-lang.uni-hamburg.de/meinedgs/types/type13061_de.html',RUND1^
dgs.13064,13064,dgs,dgs-korpus,https://www.sign-lang.uni-hamburg.de/galex/filmegr/g13064.mp4,'https://doi.org/10.25592/dgs.corpus-3.0-type-13064,https://www.sign-lang.uni-hamburg.de/meinedgs/types/type13064_de.html',MISCHEN1^
dgs.13065,13065,dgs,dgs-korpus,https://www.sign-lang.uni-hamburg.de/galex/filmegr/g13065.mp4,'https://doi.org/10.25592/dgs.corpus-3.0-type-13065,https://www.sign-lang.uni-hamburg.de/meinedgs/types/type13065_de.html',SCHÜTTEN1A^
dgs.13070,13070,dgs,dgs-korpus,https://www.sign-lang.uni-hamburg.de/korpusdict/clips/4016880_1.mp4,'https://doi.org/10.25592/dgs.corpus-3.0-type-13070,https://www.sign-lang.uni-hamburg.de/meinedgs/types/type13070_de.html',WABBELN1^
dgs.13071,13071,dgs,dgs-korpus,https://www.sign-lang.uni-hamburg.de/korpusdict/clips/3961385_1.mp4,'https://doi.org/10.25592/dgs.corpus-3.0-type-13071,https://www.sign-lang.uni-hamburg.de/meinedgs/types/type13071_de.html',TRINKEN1^
dgs.13074,13074,dgs,dgs-korpus,,https://www.sign-lang.uni-hamburg.de/meinedgs/types/type13074_de.html,SCHMAL1B^
dgs.13075,13075,dgs,dgs-korpus,https://www.sign-lang.uni-hamburg.de/galex/filmegr/g13075.mp4,'https://doi.org/10.25592/dgs.corpus-3.0-type-13075,https://www.sign-lang.uni-hamburg.de/meinedgs/types/type13075_de.html',SCHMAL1F^
dgs.13076,13076,dgs,dgs-korpus,https://www.sign-lang.uni-hamburg.de/korpusdict/clips/3478817_1.mp4,'https://doi.org/10.25592/dgs.corpus-3.0-type-13076,https://www.sign-lang.uni-hamburg.de/meinedgs/types/type13076_de.html',FLACH1^
dgs.13078,13078,dgs,dgs-korpus,https://www.sign-lang.uni-hamburg.de/korpusdict/clips/4016262_1.mp4,'https://doi.org/10.25592/dgs.corpus-3.0-type-13078,https://www.sign-lang.uni-hamburg.de/meinedgs/types/type13078_de.html',VIERECK1^
dgs.13082,13082,dgs,dgs-korpus,https://www.sign-lang.uni-hamburg.de/korpusdict/clips/3478765_1.mp4,'https://doi.org/10.25592/dgs.corpus-3.0-type-13082,https://www.sign-lang.uni-hamburg.de/meinedgs/types/type13082_de.html',GLATT1^
dgs.13083,13083,dgs,dgs-korpus,,'https://doi.org/10.25592/dgs.corpus-3.0-type-13083,https://www.sign-lang.uni-hamburg.de/meinedgs/types/type13083_de.html',REINSCHIEBEN1^
dgs.13084,13084,dgs,dgs-korpus,https://www.sign-lang.uni-hamburg.de/korpusdict/clips/3868613_1.mp4,'https://doi.org/10.25592/dgs.corpus-3.0-type-13084,https://www.sign-lang.uni-hamburg.de/meinedgs/types/type13084_de.html',MASS-VERTIKAL2A^
dgs.13086,13086,dgs,dgs-korpus,https://www.sign-lang.uni-hamburg.de/korpusdict/clips/3812819_1.mp4,'https://doi.org/10.25592/dgs.corpus-3.0-type-13086,https://www.sign-lang.uni-hamburg.de/meinedgs/types/type13086_de.html',PULVER1B^
dgs.13092,13092,dgs,dgs-korpus,https://www.sign-lang.uni-hamburg.de/galex/filmegr/g13092.mp4,'https://doi.org/10.25592/dgs.corpus-3.0-type-13092,https://www.sign-lang.uni-hamburg.de/meinedgs/types/type13092_de.html',DÜNN1B^
dgs.13094,13094,dgs,dgs-korpus,https://www.sign-lang.uni-hamburg.de/galex/filmegr/g13094.mp4,'https://doi.org/10.25592/dgs.corpus-3.0-type-13094,https://www.sign-lang.uni-hamburg.de/meinedgs/types/type13094_de.html',DREHEN-KREIS1B^
dgs.13095,13095,dgs,dgs-korpus,https://www.sign-lang.uni-hamburg.de/galex/filmegr/g13095.mp4,'https://doi.org/10.25592/dgs.corpus-3.0-type-13095,https://www.sign-lang.uni-hamburg.de/meinedgs/types/type13095_de.html',DREHEN-KREIS1A^
dgs.13096,13096,dgs,dgs-korpus,https://www.sign-lang.uni-hamburg.de/korpusdict/clips/3355866_1.mp4,'https://doi.org/10.25592/dgs.corpus-3.0-type-13096,https://www.sign-lang.uni-hamburg.de/meinedgs/types/type13096_de.html',SAUBER-MACHEN1A^
dgs.13097,13097,dgs,dgs-korpus,https://www.sign-lang.uni-hamburg.de/galex/filmegr/g13097.mp4,'https://doi.org/10.25592/dgs.corpus-3.0-type-13097,https://www.sign-lang.uni-hamburg.de/meinedgs/types/type13097_de.html',RUND7^
dgs.13104,13104,dgs,dgs-korpus,https://www.sign-lang.uni-hamburg.de/korpusdict/clips/3253699_1.mp4,'https://doi.org/10.25592/dgs.corpus-3.0-type-13104,https://www.sign-lang.uni-hamburg.de/meinedgs/types/type13104_de.html',REGEL1A^
dgs.13106,13106,dgs,dgs-korpus,https://www.sign-lang.uni-hamburg.de/glex/filmegr/g13106.mp4,'https://doi.org/10.25592/dgs.corpus-3.0-type-13106,https://www.sign-lang.uni-hamburg.de/meinedgs/types/type13106_de.html',RÜTTELN1^
