sign_id_wordnet,sign_id_original,language,origin,video,links,gloss
bsl.2577,2577,bsl,bsl-signbank,https://bslsignbank.ucl.ac.uk/media/bsl-video/AB/ABOUT.mp4,'https://bslsignbank.ucl.ac.uk/dictionary/words/about-1.html, https://bslsignbank.ucl.ac.uk/dictionary/gloss/2577',
bsl.2578,2578,bsl,bsl-signbank,https://bslsignbank.ucl.ac.uk/media/bsl-video/AB/ABOUT-NUMBER.mp4,'https://bslsignbank.ucl.ac.uk/dictionary/gloss/ABOUT-NUMBER.html,  https://bslsignbank.ucl.ac.uk/dictionary/gloss/2578',
bsl.2580,2580,bsl,bsl-signbank,https://bslsignbank.ucl.ac.uk/media/bsl-video/AB/ABOVE.mp4,'https://bslsignbank.ucl.ac.uk/dictionary/words/above-1.html, https://bslsignbank.ucl.ac.uk/dictionary/gloss/2580',
bsl.2581,2581,bsl,bsl-signbank,https://bslsignbank.ucl.ac.uk/media/bsl-video/AB/ABSORB.mp4,'https://bslsignbank.ucl.ac.uk/dictionary/words/absorb-1.html, https://bslsignbank.ucl.ac.uk/dictionary/gloss/2581',
bsl.2582,2582,bsl,bsl-signbank,https://bslsignbank.ucl.ac.uk/media/bsl-video/AC/ACCEPT.mp4,'https://bslsignbank.ucl.ac.uk/dictionary/words/accept-1.html, https://bslsignbank.ucl.ac.uk/dictionary/gloss/2582',
bsl.2583,2583,bsl,bsl-signbank,https://bslsignbank.ucl.ac.uk/media/bsl-video/AC/ACCESS.mp4,'https://bslsignbank.ucl.ac.uk/dictionary/words/access-1.html, https://bslsignbank.ucl.ac.uk/dictionary/gloss/2583',
bsl.2584,2584,bsl,bsl-signbank,https://bslsignbank.ucl.ac.uk/media/bsl-video/AC/ACCOMMODATION.mp4,'https://bslsignbank.ucl.ac.uk/dictionary/words/accommodation-1.html, https://bslsignbank.ucl.ac.uk/dictionary/gloss/2584',
bsl.2585,2585,bsl,bsl-signbank,https://bslsignbank.ucl.ac.uk/media/bsl-video/AC/ACQUIRE.mp4,'https://bslsignbank.ucl.ac.uk/dictionary/words/acquire-1.html, https://bslsignbank.ucl.ac.uk/dictionary/gloss/2585',
bsl.2592,2592,bsl,bsl-signbank,https://bslsignbank.ucl.ac.uk/media/bsl-video/AD/ADELAIDE.mp4,'https://bslsignbank.ucl.ac.uk/dictionary/gloss/ADELAIDE.html,  https://bslsignbank.ucl.ac.uk/dictionary/gloss/2592',
bsl.2599,2599,bsl,bsl-signbank,https://bslsignbank.ucl.ac.uk/media/bsl-video/AF/AFGHANISTAN.mp4,'https://bslsignbank.ucl.ac.uk/dictionary/gloss/AFGHANISTAN.html,  https://bslsignbank.ucl.ac.uk/dictionary/gloss/2599',
bsl.2619,2619,bsl,bsl-signbank,https://bslsignbank.ucl.ac.uk/media/bsl-video/AL/ALONE.mp4,'https://bslsignbank.ucl.ac.uk/dictionary/words/alone-1.html, https://bslsignbank.ucl.ac.uk/dictionary/gloss/2619',
bsl.2664,2664,bsl,bsl-signbank,https://bslsignbank.ucl.ac.uk/media/bsl-video/AR/ARCHITECT.mp4,'https://bslsignbank.ucl.ac.uk/dictionary/words/architect-1.html, https://bslsignbank.ucl.ac.uk/dictionary/gloss/2664',
bsl.2688,2688,bsl,bsl-signbank,https://bslsignbank.ucl.ac.uk/media/bsl-video/AU/AUDIOLOGY.mp4,'https://bslsignbank.ucl.ac.uk/dictionary/words/audiology-1.html, https://bslsignbank.ucl.ac.uk/dictionary/gloss/2688',
bsl.2706,2706,bsl,bsl-signbank,https://bslsignbank.ucl.ac.uk/media/bsl-video/BA/BAD.mp4,'https://bslsignbank.ucl.ac.uk/dictionary/words/bad-1.html, https://bslsignbank.ucl.ac.uk/dictionary/gloss/2706',
bsl.2709,2709,bsl,bsl-signbank,https://bslsignbank.ucl.ac.uk/media/bsl-video/BA/BADMINTON.mp4,'https://bslsignbank.ucl.ac.uk/dictionary/words/badminton-1.html, https://bslsignbank.ucl.ac.uk/dictionary/gloss/2709',
bsl.2755,2755,bsl,bsl-signbank,https://bslsignbank.ucl.ac.uk/media/bsl-video/BE/BELFAST.mp4,'https://bslsignbank.ucl.ac.uk/dictionary/gloss/BELFAST.html,  https://bslsignbank.ucl.ac.uk/dictionary/gloss/2755',
bsl.2756,2756,bsl,bsl-signbank,https://bslsignbank.ucl.ac.uk/media/bsl-video/BE/BELFAST2.mp4,'https://bslsignbank.ucl.ac.uk/dictionary/gloss/BELFAST02.html,  https://bslsignbank.ucl.ac.uk/dictionary/gloss/2756',
bsl.2757,2757,bsl,bsl-signbank,https://bslsignbank.ucl.ac.uk/media/bsl-video/BE/BELFAST3.mp4,'https://bslsignbank.ucl.ac.uk/dictionary/gloss/BELFAST03.html,  https://bslsignbank.ucl.ac.uk/dictionary/gloss/2757',
bsl.2760,2760,bsl,bsl-signbank,https://bslsignbank.ucl.ac.uk/media/bsl-video/BE/BELFAST6.mp4,'https://bslsignbank.ucl.ac.uk/dictionary/gloss/BELFAST06.html,  https://bslsignbank.ucl.ac.uk/dictionary/gloss/2760',
bsl.2776,2776,bsl,bsl-signbank,https://bslsignbank.ucl.ac.uk/media/bsl-video/BI/BILLIARDS.mp4,'https://bslsignbank.ucl.ac.uk/dictionary/words/billiards-1.html, https://bslsignbank.ucl.ac.uk/dictionary/gloss/2776',
bsl.2777,2777,bsl,bsl-signbank,https://bslsignbank.ucl.ac.uk/media/bsl-video/BI/BINGO.mp4,'https://bslsignbank.ucl.ac.uk/dictionary/words/bingo-1.html, https://bslsignbank.ucl.ac.uk/dictionary/gloss/2777',
bsl.2802,2802,bsl,bsl-signbank,https://bslsignbank.ucl.ac.uk/media/bsl-video/BL/BLACKPOOL.mp4,'https://bslsignbank.ucl.ac.uk/dictionary/gloss/BLACKPOOL.html,  https://bslsignbank.ucl.ac.uk/dictionary/gloss/2802',
bsl.2814,2814,bsl,bsl-signbank,https://bslsignbank.ucl.ac.uk/media/bsl-video/BL/BLOUSE.mp4,'https://bslsignbank.ucl.ac.uk/dictionary/words/blouse-1.html, https://bslsignbank.ucl.ac.uk/dictionary/gloss/2814',
